,City,UnlinkedPassengerTrips,Month,Year,Gas_Price
0,"Chicago, IL--IN",28036615,1,2002,1.1525
1,"Denver--Aurora, CO",5964780,1,2002,1.133
2,"Houston, TX",8113562,1,2002,1.05775
3,"New York--Jersey City--Newark, NY--NJ",113967915,1,2002,1.2085
4,"San Francisco--Oakland, CA",22499848,1,2002,1.32625
5,"Chicago, IL--IN",27087193,1,2003,1.54
6,"Denver--Aurora, CO",5620393,1,2003,1.48825
7,"Houston, TX",7720361,1,2003,1.438
8,"New York--Jersey City--Newark, NY--NJ",107572846,1,2003,1.598
9,"San Francisco--Oakland, CA",23358565,1,2003,1.78075
10,"Boston, MA--NH",10246638,1,2004,1.624
11,"Chicago, IL--IN",25821894,1,2004,1.67625
12,"Cleveland, OH",3706715,1,2004,1.61075
13,"Denver--Aurora, CO",5823576,1,2004,1.5325
14,"Houston, TX",7559239,1,2004,1.5065
15,"Miami--Fort Lauderdale, FL",10163963,1,2004,1.68775
16,"New York--Jersey City--Newark, NY--NJ",101283193,1,2004,1.6715
17,"San Francisco--Oakland, CA",22328951,1,2004,1.749
18,"Seattle--Tacoma, WA",10318976,1,2004,1.637
19,"Boston, MA--NH",11791268,1,2005,1.8738
20,"Chicago, IL--IN",26488107,1,2005,1.8994
21,"Cleveland, OH",4371483,1,2005,1.8878
22,"Denver--Aurora, CO",6032332,1,2005,1.7916
23,"Houston, TX",6843218,1,2005,1.7516
24,"Miami--Fort Lauderdale, FL",10928313,1,2005,1.9866
25,"New York--Jersey City--Newark, NY--NJ",104701563,1,2005,1.934
26,"San Francisco--Oakland, CA",21396209,1,2005,1.9812
27,"Seattle--Tacoma, WA",10576625,1,2005,1.8526
28,"Boston, MA--NH",9717943,1,2006,2.379
29,"Chicago, IL--IN",26501811,1,2006,2.39
30,"Cleveland, OH",5126415,1,2006,2.349
31,"Denver--Aurora, CO",6437912,1,2006,2.258
32,"Houston, TX",7560444,1,2006,2.2896
33,"Miami--Fort Lauderdale, FL",11719828,1,2006,2.4898
34,"New York--Jersey City--Newark, NY--NJ",110676911,1,2006,2.461
35,"San Francisco--Oakland, CA",20096383,1,2006,2.3984
36,"Seattle--Tacoma, WA",11465161,1,2006,2.252
37,"Boston, MA--NH",9351148,1,2007,2.3058
38,"Chicago, IL--IN",27763330,1,2007,2.273
39,"Cleveland, OH",4293982,1,2007,2.1878
40,"Denver--Aurora, CO",6242766,1,2007,2.1512
41,"Houston, TX",7110715,1,2007,2.13
42,"Miami--Fort Lauderdale, FL",11878362,1,2007,2.376
43,"New York--Jersey City--Newark, NY--NJ",100270668,1,2007,2.3806
44,"San Francisco--Oakland, CA",19767601,1,2007,2.7032
45,"Seattle--Tacoma, WA",12191638,1,2007,2.6526
46,"Boston, MA--NH",9710816,1,2008,3.078
47,"Chicago, IL--IN",28391796,1,2008,3.17475
48,"Cleveland, OH",4244994,1,2008,3.07875
49,"Denver--Aurora, CO",6634434,1,2008,2.879
50,"Houston, TX",7663421,1,2008,2.945
51,"Miami--Fort Lauderdale, FL",11573241,1,2008,3.24475
52,"New York--Jersey City--Newark, NY--NJ",106154398,1,2008,3.16675
53,"San Francisco--Oakland, CA",19493206,1,2008,3.4025
54,"Seattle--Tacoma, WA",13173962,1,2008,3.153
55,"Boston, MA--NH",9378734,1,2009,1.75975
56,"Chicago, IL--IN",27869073,1,2009,1.98675
57,"Cleveland, OH",2463510,1,2009,1.92425
58,"Denver--Aurora, CO",6636909,1,2009,1.62
59,"Houston, TX",6388057,1,2009,1.66275
60,"Miami--Fort Lauderdale, FL",10981471,1,2009,1.972
61,"New York--Jersey City--Newark, NY--NJ",100328130,1,2009,1.816
62,"San Francisco--Oakland, CA",20908627,1,2009,2.06
63,"Seattle--Tacoma, WA",13471663,1,2009,2.03275
64,"Boston, MA--NH",9502150,1,2010,2.7365
65,"Chicago, IL--IN",27822254,1,2010,2.86975
66,"Cleveland, OH",3196679,1,2010,2.74475
67,"Denver--Aurora, CO",6372365,1,2010,2.5575
68,"Houston, TX",5563126,1,2010,2.59725
69,"Miami--Fort Lauderdale, FL",9921259,1,2010,2.88625
70,"New York--Jersey City--Newark, NY--NJ",97944358,1,2010,2.80675
71,"San Francisco--Oakland, CA",19471222,1,2010,3.0775
72,"Seattle--Tacoma, WA",12694210,1,2010,2.89075
73,"Boston, MA--NH",9310489,1,2011,3.1634
74,"Chicago, IL--IN",27274719,1,2011,3.2916
